file_name,column_name,viewpoint,result,summary
DBDetectOutlier.csv,STRT_YMD,checkNumeric,OK,42/42
DBDetectOutlier.csv,STRT_YMD,checkRange,OK,20143245.38095238/4233.399989833574
DBDetectOutlier.csv,STRT_YMD,checkLength,OK,42/42
DBDetectOutlier.csv,STRT_YMD,checkCategory,NG,1.2352941176470589/0.4241825029957634
DBDetectOutlier.csv,STOP_YMD,checkNumeric,NA,32/42
DBDetectOutlier.csv,STOP_YMD,checkRange,NA,0/0
DBDetectOutlier.csv,STOP_YMD,checkLength,NA,32/42
DBDetectOutlier.csv,STOP_YMD,checkCategory,NG,16.0/16.0
DBDetectOutlier.csv,T_DT,checkNumeric,NA,0/42
DBDetectOutlier.csv,T_DT,checkRange,NA,0/0
DBDetectOutlier.csv,T_DT,checkLength,NA,39/42
DBDetectOutlier.csv,T_DT,checkCategory,NG,1.5/1.5
DBDetectOutlier.csv,MAIL_STOP_DT,checkNumeric,NA,0/42
DBDetectOutlier.csv,MAIL_STOP_DT,checkRange,NA,0/0
DBDetectOutlier.csv,MAIL_STOP_DT,checkLength,NA,29/42
DBDetectOutlier.csv,MAIL_STOP_DT,checkCategory,NG,2.6/3.7202150475476548
file_name,column_name,view_point,result,summary
DBDetectOutlier.csv,BANKCode,checkNumeric,NG,41/42
DBDetectOutlier.csv,BANKCode,checkRange,NA,0/0
DBDetectOutlier.csv,BANKCode,checkLength,OK,42/42
DBDetectOutlier.csv,BANKCode,checkCategory,NG,10.5/6.103277807866851
file_name,column_name,view_point,result,summary
DBDetectOutlier.csv,KEIY_SEQ,checkNumeric,OK,42/42
DBDetectOutlier.csv,KEIY_SEQ,checkRange,OK,234774.16666666666/130552.20234248147
DBDetectOutlier.csv,KEIY_SEQ,checkLength,NG,41/42
DBDetectOutlier.csv,KEIY_SEQ,checkCategory,NG,1.024390243902439/0.1542574468374818
file_name,column_name,view_point,result,summary
DBDetectOutlier.csv,CIF_NO,checkNumeric,NA,7/42
DBDetectOutlier.csv,CIF_NO,checkRange,NA,0/0
DBDetectOutlier.csv,CIF_NO,checkLength,NA,35/42
DBDetectOutlier.csv,CIF_NO,checkCategory,NG,1.75/1.299038105676658
file_name,column_name,view_point,result,summary
DBDetectOutlier.csv,LOGIN_PWD,checkNumeric,NA,0/42
DBDetectOutlier.csv,LOGIN_PWD,checkRange,NA,0/0
DBDetectOutlier.csv,LOGIN_PWD,checkLength,NA,23/42
DBDetectOutlier.csv,LOGIN_PWD,checkCategory,NG,3.8/2.227105745132009
file_name,column_name,view_point,result,summary
DBDetectOutlier.csv,LOGIN_PWD_Date,checkNumeric,NA,0/42
DBDetectOutlier.csv,LOGIN_PWD_Date,checkRange,NA,0/0
DBDetectOutlier.csv,LOGIN_PWD_Date,checkLength,NA,34/42
DBDetectOutlier.csv,LOGIN_PWD_Date,checkCategory,NG,2.8/5.44303836718672
file_name,column_name,view_point,result,summary
DBDetectOutlier.csv,User_PWD,checkNumeric,NA,0/42
DBDetectOutlier.csv,User_PWD,checkRange,NA,0/0
DBDetectOutlier.csv,User_PWD,checkLength,NA,39/42
DBDetectOutlier.csv,User_PWD,checkCategory,NG,1.0/0.816496580927726
file_name,column_name,view_point,result,summary
DBDetectOutlier.csv,CreateDate,checkNumeric,NA,0/42
DBDetectOutlier.csv,CreateDate,checkRange,NA,0/0
DBDetectOutlier.csv,CreateDate,checkLength,NA,31/42
DBDetectOutlier.csv,CreateDate,checkCategory,NG,6.4/11.306635220082056
file_name,column_name,view_point,result,summary
DBDetectOutlier.csv,Email,checkNumeric,NA,0/42
DBDetectOutlier.csv,Email,checkRange,NA,0/0
DBDetectOutlier.csv,Email,checkLength,NG,40/42
DBDetectOutlier.csv,Email,checkCategory,NG,14.0/18.384776310850235
file_name,column_name,view_point,result,summary
DBDetectOutlier.csv,STRT_YMD,checkNumeric,OK,42/42
DBDetectOutlier.csv,STRT_YMD,checkRange,OK,20143245.38095238/4233.399989833574
DBDetectOutlier.csv,STRT_YMD,checkLength,OK,42/42
DBDetectOutlier.csv,STRT_YMD,checkCategory,NG,1.2352941176470589/0.4241825029957634
file_name,column_name,view_point,result,summary
DBDetectOutlier.csv,STOP_YMD,checkNumeric,NA,32/42
DBDetectOutlier.csv,STOP_YMD,checkRange,NA,0/0
DBDetectOutlier.csv,STOP_YMD,checkLength,NA,32/42
DBDetectOutlier.csv,STOP_YMD,checkCategory,NG,16.0/16.0
file_name,column_name,view_point,result,summary
DBDetectOutlier.csv,T_DT,checkNumeric,NA,0/42
DBDetectOutlier.csv,T_DT,checkRange,NA,0/0
DBDetectOutlier.csv,T_DT,checkLength,NA,39/42
DBDetectOutlier.csv,T_DT,checkCategory,NG,1.5/1.5
file_name,column_name,view_point,result,summary
DBDetectOutlier.csv,MAIL_STOP_DT,checkNumeric,NA,0/42
DBDetectOutlier.csv,MAIL_STOP_DT,checkRange,NA,0/0
DBDetectOutlier.csv,MAIL_STOP_DT,checkLength,NA,29/42
DBDetectOutlier.csv,MAIL_STOP_DT,checkCategory,NG,2.6/3.7202150475476548
